,X,UniqueID,CAS,ChemicalNumber,Chemical,FacilityID,Longitude,Latitude,FacilityName,Street,City,County,State,ZIPCode,ZIP9,FIPS,STFIPS,StackHeight,StackVelocity,StackDiameter,StackTemperature,ChromHexPercent,ModeledNAICS,PoundsReleased_2016,PoundsReleased_2017,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsPT_2016,PoundsPT_2017,PoundsPT_2018,PoundsPT_2019,PoundsPT_2020,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,NCScore_2016,NCScore_2017,NCScore_2018,NCScore_2019,NCScore_2020,CScore_2016,CScore_2017,CScore_2018,CScore_2019,CScore_2020,Hazard_2016,Hazard_2017,Hazard_2018,Hazard_2019,Hazard_2020,HazardC_2016,HazardC_2017,HazardC_2018,HazardC_2019,HazardC_2020,HazardNC_2016,HazardNC_2017,HazardNC_2018,HazardNC_2019,HazardNC_2020,population_1km,WhtPercent_1km,NWPercent_1km,HispPercent_1km,BlkPercent_1km,AsianPercent_1km,AmerIndPercent_1km,Under5Percent_1km,ReprodFemPercent_1km,Over64Percent_1km,EduPercent_1km,housing_units_1km,VacPercent_1km,OwnOccPercent_1km,avg_median_income_1km,avg_median_house_value_1km,facility_count_1km,population_5km,WhtPercent_5km,NWPercent_5km,HispPercent_5km,BlkPercent_5km,AsianPercent_5km,AmerIndPercent_5km,Under5Percent_5km,ReprodFemPercent_5km,Over64Percent_5km,EduPercent_5km,housing_units_5km,VacPercent_5km,OwnOccPercent_5km,avg_median_income_5km,avg_median_house_value_5km,facility_count_5km,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,facility_count_10km,GEOID_tract,populationE_tract,WhtPercent_tract,NWPercent_tract,HispPercent_tract,BlkPercent_tract,AsianPercent_tract,AmerIndPercent_tract,Under5Percent_tract,ReprodFemPercent_tract,Over64Percent_tract,EduPercent_tract,housing_unitsE_tract,VacPercent_tract,OwnOccPercent_tract,medincomeE_tract,median_house_valueE_tract,facility_count_tract,GEOID_county,populationE_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_unitsE_county,VacPercent_county,OwnOccPercent_county,medincomeE_county,median_house_valueE_county,facility_count_county,geometry,
1,1,115_12047NRLTC628SO,56235,115,Carbon tetrachloride,12047NRLTC628SO,-73.705667,42.7555,NORLITE LLC,628 S SARATOGA ST,COHOES,ALBANY,NY,12047,12047,36001,36,10.1,19.2,0.7,310.9,0.43,327992,6.07,6,9.7,1675.5383,4538.8192,2.69,2.04,9.7,1675.5383,1406.3792,3.6879133,6.51842091,4.3201058,30.767701,60.838364,0.006146522,0.010864067,0.00720018,0.051279469,0.101396941,3.6879133,6.51842091,4.3201058,30.767701,60.838364,138810,42840,622160,116884901,97662544,138810,42840,622160,116884901,97662544,455.35,71.4,2175.6,417117.275,348154.8,1250.547698,0.620438661,0.379561339,0.077051766,0.132045489,0.163164842,0.001054835,0.069923599,0.291553613,0.127306208,0.060295523,613.4372051,0.058271061,0.941728939,62426.5,173760,1,58708.08926,0.72539163,0.27460837,0.080060108,0.121226886,0.05522882,0.00169484,0.049327859,0.252842231,0.154331451,0.115616984,30767.53621,0.132244374,0.867755626,53240.9,166247.3684,2,134501.5788,0.755808618,0.244191382,0.071138458,0.094816774,0.063959744,0.00200829,0.051130105,0.251580506,0.152240602,0.093569547,63658.18363,0.108650839,0.891349161,66668.36134,190499.1304,2,36001013503,5030,0.711729622,0.288270378,0.062425447,0.077335984,0.157057654,0.004970179,0.061232604,0.242942346,0.125049702,0.071738502,1990,0.015075377,0.984924623,77763,291200,1,36001,306968,0.753322822,0.246677178,0.059696776,0.123905423,0.066199083,0.001609288,0.050754476,0.244804019,0.165134477,0.078597293,141553,0.106059215,0.893940785,66252,222500,3,c(-8204877.31901859, 5274830.1921342)
2,2,115_18014KYSTNRT329,56235,115,Carbon tetrachloride,18014KYSTNRT329,-75.3985,40.7159,KEYSTONE CEMENT CO,RT 329,BATH,NORTHAMPTON,PA,18014,18014,42095,42,64.9,16.8,3.4,444.3,0.08,327310,NA,NA,NA,NA,25,NA,NA,NA,NA,25,NA,NA,NA,NA,15.21387,NA,NA,NA,NA,0.02535639,NA,NA,NA,NA,15.21387,NA,NA,NA,NA,1260000,NA,NA,NA,NA,1260000,NA,NA,NA,NA,4100,370.2750951,0.852235101,0.147764899,0.089834404,0.122860907,0.003872275,0,0.022996209,0.169811753,0.242682164,0.124597957,148.0226562,0.048273313,0.951726687,64152.33333,203533.3333,1,9509.521483,0.893445078,0.106554922,0.065739408,0.059731202,0.02666009,0,0.040546123,0.180697295,0.223676938,0.094443074,3528.902112,0.054254384,0.945745616,86946.92857,266900,1,47792.73663,0.886208827,0.113791173,0.073515954,0.034459484,0.037150018,0.001370399,0.053479042,0.181015031,0.245025576,0.06597986,18928.90848,0.045450309,0.954549691,80653.45652,246452.1739,1,42095016500,4955,0.950756811,0.049243189,0.050655903,0.022401615,0.018365288,0,0.043592331,0.158224016,0.273259334,0.09666493,2002,0.044955045,0.955044955,73750,237000,1,42095,302809,0.855506276,0.144493724,0.132387082,0.057012836,0.028437068,0.002123451,0.048581779,0.214686486,0.186242813,0.091221633,123159,0.072865158,0.927134842,70471,219800,1,c(-8393322.62657664, 4970526.86097449)
3,3,115_25015DPNTB901WE,56235,115,Carbon tetrachloride,25015DPNTB901WE,-81.5525,38.241944,CHEMOURS BELLE PLANT,901 W DUPONT AVE,BELLE,KANAWHA,WV,25015,25015,54039,54,22.1,9.3,0.2,330.4,0.25,325199,367,302,274,NA,NA,355,302,271,NA,NA,109.73824,93.736,84.11079,NA,NA,0.18289806,0.15622667,0.14018464,NA,NA,109.73824,93.736,84.11079,NA,NA,7455000,6342000,5691000,NA,NA,7455000,6342000,5691000,NA,NA,12425,10570,9485,NA,NA,557.1257399,0.907890748,0.092109252,0.026475251,0.037127397,0,0.006119706,0.046763464,0.179080945,0.237272795,0.100383108,307.4078989,0.137834342,0.862165658,40879.8,80050,1,6178.987246,0.914147215,0.085852785,0.020251364,0.041465134,0.000716443,0.00288407,0.050926665,0.195967226,0.221744798,0.11499168,3206.90704,0.151949228,0.848050772,52636,96133.33333,1,12714.73232,0.905902385,0.094097615,0.012155958,0.053685478,0.003693992,0.001416451,0.041404947,0.205652293,0.230120564,0.146434752,6345.730648,0.142997642,0.857002358,52627.66667,104363.6364,1,54039011500,3566,0.827818284,0.172181716,0.02692092,0.113853057,0.007851935,0,0.031688166,0.15844083,0.27425687,0.086389281,2018,0.156095144,0.843904856,46125,104700,1,54039,183279,0.884967727,0.115032273,0.011114203,0.071770361,0.012047207,0.00201878,0.054054202,0.208299914,0.199744652,0.113396541,92409,0.144347412,0.855652588,46639,112500,3,c(-9078382.77291844, 4613660.99206018)
4,4,115_29448GNTCMPOBOX,56235,115,Carbon tetrachloride,29448GNTCMPOBOX,-80.442222,33.242778,GIANT CEMENT CO,HWY 453 & I-26 (654 JUDGE ST),HARLEYVILLE,DORCHESTER,SC,29448,29448,45035,45,89.9,15.3,4.3,383.2,0.08,327310,372,413,607,19,436,372,413,607,19,436,45.61499,80.309603,103.73578,3.8418785,90.56724,0.07602504,0.13384967,0.17289231,0.006403131,0.1509449,45.61499,80.309603,103.73578,3.8418785,90.56724,12124000,9261000,17500000,399000,9205000,12124000,9261000,17500000,399000,9205000,31940,17035,42100,665,15475,27.68084304,0.490074069,0.509925931,0,0.436811615,0.023849778,0,0.024352944,0.271432622,0.165005916,0.171279536,13.38454515,0.12974409,0.87025591,44836,120900,1,738.8635615,0.455921456,0.544078544,0.001321699,0.479695796,0.029867389,0.000466482,0.026651935,0.225882835,0.178675761,0.185967211,378.9377566,0.21822721,0.78177279,46994,109860,2,3824.650463,0.442616548,0.557383452,0.005577485,0.518145774,0.012017234,0.001459556,0.04315714,0.211451873,0.193262468,0.170570668,1842.083176,0.196436072,0.803563928,47768.5,110737.5,2,45035010302,4501,0.595423239,0.404576761,0,0.366585203,0.010219951,0,0.049544546,0.239502333,0.235725394,0.167829949,1936,0.087293388,0.912706612,52992,81000,1,45035,158299,0.674539953,0.325460047,0.053796929,0.250917567,0.019355776,0.0042704,0.060745804,0.236432321,0.134959791,0.103001627,60561,0.086028963,0.913971037,63080,198800,2,c(-8954787.19131947, 3927573.19728373)
5,5,115_36752GPLSTONEPL,56235,115,Carbon tetrachloride,36752GPLSTONEPL,-86.522197,32.31029,SABIC INNOVATIVE PLASTICS US LLC,ONE PLASTICS DR,BURKVILLE,LOWNDES,AL,36752,36752,1085,1,36.6,13,0.2,319.8,0.34,325211,86378.8,9235.7,78716.1,62331,114371.17,85150.8,9235.7,78716.1,62331,114371.17,61.46935,50.33767,349.15514,352.44224,488.28914,0.11067781,0.08389608,0.5819259,0.58740407,0.81381457,61.46935,50.33767,349.15514,352.44224,488.28914,5954117400,640829700,5473568100,4326812000,7956104800,5954117400,640829700,5473568100,4326812000,7956104800,21259449,2284049.5,19518613.5,15423220,28373944,12.13007428,0.565499351,0.434500649,0.018158236,0.418936446,0,0.015564202,0.112840467,0.199740597,0.229571984,0.00845666,5.711046644,0.08815427,0.91184573,58431,130800,1,304.9855106,0.539476393,0.460523607,0.014386791,0.447139733,0,0.012361385,0.094131084,0.17904894,0.247462337,0.045962033,148.9545822,0.131036954,0.868963046,55326.6,141320,1,1820.350151,0.547867873,0.452132127,0.026920849,0.424644856,0,0.009398201,0.046803943,0.143728121,0.26008435,0.142229906,934.4155686,0.186197088,0.813802912,52319,153585.7143,1,1085780800,3272,0.408618582,0.591381418,0.005195599,0.586797066,0,0.003667482,0.088325183,0.15403423,0.245721271,0.190137902,1534,0.155801825,0.844198175,35605,122000,1,1085,10079,0.247742832,0.752257168,0.00496081,0.746304197,0,0.00128981,0.060819526,0.208056355,0.184145253,0.216510903,5224,0.186255743,0.813744257,30036,70000,1,c(-9631606.9123553, 3804110.28363097)
6,6,115_41129CLGNCUSROU,56235,115,Carbon tetrachloride,41129CLGNCUSROU,-82.58925,38.33721,CALGON CARBON CORP,15024 US 23,CATLETTSBURG,BOYD,KY,41129,41129,21019,21,28,14.6,1.2,335.9,0.25,325998,NA,NA,NA,95,NA,NA,NA,NA,95,NA,NA,NA,NA,19.697522,NA,NA,NA,NA,0.032829236,NA,NA,NA,NA,19.697522,NA,NA,NA,NA,1995000,NA,NA,NA,NA,1995000,NA,NA,NA,NA,3325,NA,97.10453862,0.988831808,0.011168192,0,0,0,0,0.035718136,0.245185639,0.149664873,0.134327969,36.07845422,0.139552045,0.860447955,72420.5,138500,1,2566.942352,0.98817378,0.01182622,0,8.87E-05,8.87E-05,0,0.040839092,0.243077811,0.156997479,0.133017916,971.744747,0.140847002,0.859152998,71311,128700,1,15856.80681,0.970800723,0.029199277,0.004759322,0.008312884,0.00050916,0.00228744,0.048170307,0.225728478,0.213362078,0.141101693,7054.503652,0.139841356,0.860158644,57830.04,119584,2,21019031200,3830,0.989556136,0.010443864,0,0,0,0,0.050913838,0.231853786,0.201305483,0.145085238,1641,0.090798294,0.909201706,77051,131100,2,21019,47682,0.940648463,0.059351537,0.01816199,0.022985613,0.003271675,0.000629168,0.058135145,0.200411057,0.189044084,0.117886775,21674,0.159822829,0.840177171,48308,111200,2,c(-9193793.25499837, 4627172.41078901)
7,7,115_42029WSTLK2468I,56235,115,Carbon tetrachloride,42029WSTLK2468I,-88.334167,37.051111,WESTLAKE VINYLS INC,2468 IND US TRIAL PKWY,CALVERT CITY,MARSHALL,KY,42029,42029,21157,21,28.4,17.3,0.8,476.1,0.25,325199,10645,10505,23932,8824,9734,9128,10491,23932,8824,9734,1573.356046,1821.91392,2082.680455,1557.934467,1730.666124,2.62226341,3.0365232,3.471134092,2.59655744,2.884440206,1573.356046,1821.91392,2082.680455,1557.934467,1730.666124,191982000,220311000,1092581000,185353000,205590000,191982000,220311000,1092581000,185353000,205590000,320770,367185,3426435,309055,345850,80.8002826,0.986580922,0.013419078,0.01377393,0,0,0,0.006158861,0.117963441,0.319483172,0.245781122,45.17138999,0.243892838,0.756107162,53803.66667,101500,1,2266.908442,0.977877946,0.022122054,0.013108386,0,0.000139825,0.007578364,0.037152409,0.227089199,0.217238932,0.170735148,1191.797029,0.171136652,0.828863348,60794.85714,113971.4286,3,5520.256242,0.967716056,0.032283944,0.024272123,0.000629839,0.000855736,0.003628859,0.045771432,0.207357822,0.22507626,0.134004943,3076.017916,0.197693936,0.802306064,60524.84615,116476.9231,3,21157950102,2298,0.979547433,0.020452567,0.016100957,0,0,0.007832898,0.023498695,0.205395997,0.219321149,0.181871345,1266,0.228278041,0.771721959,48588,94000,2,21157,31192,0.973967684,0.026032316,0.016478584,0.009393434,0.001987689,0.001474737,0.055687356,0.199057451,0.216786355,0.113457977,16175,0.188809892,0.811190108,55113,131100,3,c(-9833314.49008799, 4446233.39802633)
8,8,115_43920VNRLL1250S,56235,115,Carbon tetrachloride,43920VNRLL1250S,-80.54632,40.631622,HERITAGE THERMAL SERVICES,1250 ST GEORGE ST,EAST LIVERPOOL,COLUMBIANA,OH,43920,43920,39029,39,35,13.8,1.3,322,0.34,562213,1097.4002,185.87,1462.46,0.42,0.5,78.40020002,185.87,0.46,0.42,0.5,0.534877648,0.527387,0.6189356,0.5390945,0.6930218,0.000891463,0.000878978,0.00103156,0.000898491,0.001155035,0.534877648,0.527387,0.6189356,0.5390945,0.6930218,5468414.001,12991300,9660,8820,10500,5468414.001,12991300,9660,8820,10500,19514.05,46381.5,16.1,14.7,17.5,899.0326692,0.830277235,0.169722765,0,0.055963813,0.004595309,0,0.041013803,0.213789991,0.110877963,0.187474004,381.2330451,0.13665791,0.86334209,42787,66600,1,14571.7052,0.88792985,0.11207015,0.023010334,0.02591727,0.003279164,0,0.053372695,0.18586297,0.199482474,0.158618779,7767.800289,0.159364065,0.840635935,44854.8,84400,1,27803.52446,0.91979182,0.08020818,0.017724185,0.021652036,0.00215261,0.000449076,0.054289167,0.189807528,0.204549324,0.137875292,14139.92815,0.129380328,0.870619672,48504,99645.16129,2,39029952200,2040,0.804901961,0.195098039,0,0.066666667,0.004411765,0,0.040686275,0.218137255,0.090196078,0.196062992,829,0.141133896,0.858866104,35833,44100,1,39029,103190,0.946942533,0.053057467,0.017763349,0.0204671,0.001918791,0.001443938,0.051613528,0.191016571,0.198342863,0.114681925,46829,0.113006897,0.886993103,48345,109400,1,c(-8966375.32767207, 4958156.89882268)
9,9,115_44011CHMTR35850,56235,115,Carbon tetrachloride,44011CHMTR35850,-82.01677,41.47154,CHEMTRON CORP,35850 SCHNEIDER CT,AVON,LORAIN,OH,44011,44011,39093,39,7.8,3.4,0.5,725.9,0.19,562211,17314.73,307401.74,25342,14004.4,NA,458.73,181929.71,3224,7235.4,NA,1.52098,27.4144,1.80911,1.28444,NA,0.00253496,0.0456907,0.00301519,0.00214074,NA,1.52098,27.4144,1.80911,1.28444,NA,32026330,10640932540,225484000,185655400,NA,32026330,10640932540,225484000,185655400,NA,114310.55,36293820.95,805140,401159.1,NA,280.5983059,0.88014424,0.11985576,0.043695146,0.087412004,0.015458562,0,0.02717631,0.245956461,0.259866226,0.039682454,142.0781908,0.153143093,0.846856907,103125,248400,1,22896.67112,0.921982342,0.078017658,0.038060472,0.0200577,0.026966899,0.000301649,0.047947465,0.194430831,0.219864802,0.028633778,9700.664836,0.05368143,0.94631857,97642.66667,276950,2,85395.73181,0.917990882,0.082009118,0.036507714,0.023720174,0.028121725,0.001358459,0.054782566,0.208915053,0.194112617,0.040066047,36217.59328,0.060397085,0.939602915,97360.33333,255308.3333,2,39093013101,4610,0.890238612,0.109761388,0.028850325,0.001518438,0.084815618,0,0.057049892,0.202169197,0.253145336,0.05163728,2018,0.125371655,0.874628345,90234,266200,1,39093,307670,0.850196639,0.149803361,0.099548217,0.085334937,0.011947866,0.003630513,0.056593103,0.211080053,0.177687132,0.103226626,131211,0.083300943,0.916699057,58427,150500,3,c(-9130065.07290904, 5082144.48484705)
10,10,115_44044RSSNC36790,56235,115,Carbon tetrachloride,44044RSSNC36790,-82.034722,41.324167,ROSS INCINERATION SERVICES INC,36790 GILES RD,GRAFTON,LORAIN,OH,44044,44044,39093,39,21.9,4.6,2.3,581.8,0.19,562211,103.772,1238.523,5392.331,405.793,1546.731,103.772,981.123,5388.331,384.893,1546.731,14.902402,12.025229,3.935252,0.19636393,0.02005078,0.02483734,0.02004198,0.006558751,0.000327273,3.34E-05,14.902402,12.025229,3.935252,0.19636393,0.02005078,6448729,68026420,376975802,26932367,108270043,6448729,68026420,376975802,26932367,108270043,22365.615,242419.1,1346172.87,96178.745,386677.805,128.2230739,0.989085239,0.010914761,0,0.009355509,0,0,0.018191268,0.196465696,0.319126819,0.11503268,60.84598051,0.039430449,0.960569551,60938,163000,1,8076.294207,0.919715673,0.080284327,0.020191848,0.033216886,0.003802728,0.006144492,0.022461166,0.17647594,0.255150244,0.090476208,3607.204794,0.03633516,0.96366484,74621.85714,179535.7143,1,55992.96864,0.845884021,0.154115979,0.043888982,0.1007398,0.003703435,0.003442074,0.051178537,0.196977748,0.182439802,0.104175438,22848.43342,0.069653045,0.930346955,65197.98,154440,1,39093091100,3477,0.900488927,0.099511073,0.005752085,0.048029911,0.006902502,0.010641357,0.022720736,0.177164222,0.327868852,0.106620209,1823,0.05266045,0.94733955,58862,170300,1,39093,307670,0.850196639,0.149803361,0.099548217,0.085334937,0.011947866,0.003630513,0.056593103,0.211080053,0.177687132,0.103226626,131211,0.083300943,0.916699057,58427,150500,3,c(-9132063.48040776, 5060274.4475786)
