FacilityID,FacilityName,Street,City,County,State,ZIPCode,Longitude,Latitude,Chemical,PFAS,PFAS_chemicals,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsReleased_2021,PoundsReleased_2022,PoundsReleased_5yr_min,PoundsReleased_5yr_sum,PoundsReleased_5yr_max,Pounds_5yr_perc,Cancer_PoundsReleased_5yr_min,Cancer_PoundsReleased_5yr_sum,Cancer_PoundsReleased_5yr_max,Cancer_Pounds_5yr_perc,Cancer_weighted_5yr_sum,Dev_PoundsReleased_5yr_min,Dev_PoundsReleased_5yr_sum,Dev_PoundsReleased_5yr_max,Dev_Pounds_5yr_perc,Dev_weighted_5yr_sum,Asthma_PoundsReleased_5yr_min,Asthma_PoundsReleased_5yr_sum,Asthma_PoundsReleased_5yr_max,Asthma_Pounds_5yr_perc,Asthma_weighted_5yr_sum,state_num_facilities,state_num_chemicals,state_sum_releases,District,GEOID,district_num_facilities,district_num_chemicals,district_sum_releases,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,population_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_units_county,VacPercent_county,OwnOccPercent_county,avg_median_income_county,avg_median_house_value_county,WhtPercent_change,NWPercent_change,HispPercent_change,BlkPercent_change,AsianPercent_change,AmerIndPercent_change,Under5Percent_change,ReprodFemPercent_change,Over64Percent_change,EduPercent_change,NAICS,10km_Pounds_sum,10km_Pounds_min,10km_Pounds_max,10km_Cancer_Pounds_sum,10km_Cancer_Pounds_min,10km_Cancer_Pounds_max,10km_Dev_Pounds_sum,10km_Dev_Pounds_min,10km_Dev_Pounds_max,10km_Asthma_Pounds_sum,10km_Asthma_Pounds_min,10km_Asthma_Pounds_max,10km_facnum,Health_Risk_Count
01028SDDKR82DEE,ARCLIN SURFACES - EAST LONGMEADOW CO.,82 DEER PARK DR,EAST LONGMEADOW,HAMPDEN,MA,01028,-72.521964,42.036831,Formaldehyde,FALSE,,25101,6447,6115,6649,4704,4704,25101,25101,73.52396082,4704,25101,25101,79.16335716,25101,0,0,0,0,0,4704,25101,25101,91.52766746,25158.22981,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,108077.9932,0.758313606,0.241686394,0.187430402,0.10019409,0.044672978,0.002828742,0.055750176,0.210901821,0.169091129,0.105883952,41680.26001,0.051076941,0.948923059,79675.32558,223552.2222,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-2.991214019,10.7108312,-27.06180664,13.30491044,77.35674121,41.02821225,1.770733008,-7.951231642,-0.034373417,-25.50449617,Paper Bag and Coated and Treated Paper Manufacturing,1883041.02,1510638.92,1883041.02,1861782.32,1494278.22,1861782.32,34959.6,26883.5,34959.6,1847090.42,1483380.42,1847090.42,1,2
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,59 DWIGHT ST,HATFIELD,HAMPSHIRE,MA,01038,-72.632292,42.368349,N-Methyl-2-pyrrolidone,FALSE,,12031,16323,31736,22289,33949,12031,33949,33949,78.7132645,0,0,0,0,0,12031,33949,33949,90.38919778,27159.2,0,0,0,0,0,42,12,5314298.6,Congressional District 2,2502,7,4,359455,32695.20994,0.872809955,0.127190045,0.069233356,0.024083036,0.030431567,0.002609797,0.030428447,0.289453533,0.202198046,0.055038852,14268.4036,0.058429648,0.941570352,77669.27586,328844.8276,161361,0.866355563,0.133644437,0.05848997,0.024522654,0.05280706,0.001289035,0.03361407,0.277185937,0.172650145,0.049094652,64114,0.070296659,0.929703341,73518,289300,0.745004916,-4.829525029,18.36791299,-1.792702549,-42.3721616,102.4612397,-9.477051867,4.425764236,17.11432203,12.10763303,Fertilizer (Mixing Only) Manufacturing,47382,22801.2,47382,1248,419.2,1248,46134,22382,46134,1248,419.2,1248,1,1
01041HZNPPTHIRD,HAZEN PAPER CO,240 S WATER ST,HOLYOKE,HAMPDEN,MA,01040,-72.60981,42.19251,N-Methyl-2-pyrrolidone,FALSE,,12102,,,10351,12185,10351,12185,12185,59.14747154,0,0,0,0,0,10351,12185,12185,82.23457771,9748,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,127572.4283,0.823494467,0.176505533,0.315643437,0.044715609,0.016647271,0.001177836,0.053319174,0.235286856,0.180001971,0.151679373,56917.11443,0.067626321,0.932373679,58068.07895,202404.4554,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,5.347178205,-19.14698272,22.83205837,-49.43316431,-33.90846319,-41.27845755,-2.667008409,2.691694294,6.416048941,6.715239075,Paper Bag and Coated and Treated Paper Manufacturing,1909315.6,1517230.7,1909315.6,1862974.9,1494642,1862974.9,60041.6,33111.5,60041.6,1848283,1483744.2,1848283,8,1
01060PRSTR238NO,BI-QEM INC.,238 NONOTUCK ST,FLORENCE,HAMPSHIRE,MA,01062,-72.674449,42.329885,Formaldehyde,FALSE,,1075,1248,419.2,644.72,628.9,419.2,1248,1248,29.46783161,419.2,1248,1248,41.80566587,1248,0,0,0,0,0,419.2,1248,1248,69.36722266,1250.845417,42,12,5314298.6,Congressional District 2,2502,7,4,359455,41277.96399,0.894790491,0.105209509,0.075632008,0.017813598,0.02512426,0.001537191,0.028637343,0.279389965,0.201839329,0.056288826,18551.0667,0.061528891,0.938471109,74537.675,309158.9744,161361,0.866355563,0.133644437,0.05848997,0.024522654,0.05280706,0.001289035,0.03361407,0.277185937,0.172650145,0.049094652,64114,0.070296659,0.929703341,73518,289300,3.282131367,-21.27655166,29.30765403,-27.35860449,-52.42253551,19.25132203,-14.80548869,0.795144074,16.90655046,14.65368175,Plastics Material and Resin Manufacturing,59867,33318.2,59867,13733,10936.2,13733,58619,32899,58619,1248,419.2,1248,1,2
01089FNTNP492PR,FOUNTAIN PLATING CO LLC,492 PROSPECT AVE,WEST SPRINGFIELD,HAMPDEN,MA,01089,-72.6502,42.15478,Trichloroethylene,FALSE,,11809,11156,12485,10517,,10517,12485,12485,59.51813609,10517,12485,12485,67.59332804,12485,10517,12485,12485,82.39343394,7491,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,150361.6303,0.769864105,0.230135895,0.385295581,0.061094028,0.020898174,0.002428519,0.061506384,0.245693854,0.151124807,0.189844113,65324.56603,0.071084577,0.928915423,54072.01471,193314.1654,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-1.513593285,5.419820206,49.93706134,-30.9115598,-17.03190349,21.07492039,12.27856432,7.233861219,-10.65595158,33.566348,"Electroplating, Plating, Polishing, Anodizing, and Coloring",1884233.6,1511002.7,1884233.6,1862974.9,1494642,1862974.9,34959.6,26883.5,34959.6,1848283,1483744.2,1848283,5,2
01104STRCH126ME,ASTRO CHEMICALS INC,126 MEMORIAL DR,SPRINGFIELD,HAMPDEN,MA,01104,-72.5425,42.13875,Dichloromethane (Methylene chloride),FALSE,,623,991,375,695.2,525.6,375,991,991,27.08498809,375,991,991,39.97881917,792.8,0,0,0,0,0,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,219514.7898,0.663610455,0.336389545,0.372696033,0.159599175,0.027333808,0.002609421,0.062178109,0.245826075,0.148288018,0.18698568,90973.12951,0.071433865,0.928566135,50920.12849,177830.28,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-15.10630421,54.09210888,45.03397048,80.48340322,8.518285454,30.09382999,13.50478441,7.291569646,-12.33304374,31.55527458,Other Chemical and Allied Products Merchant Wholesalers,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,8,1
01104STRCH126ME,ASTRO CHEMICALS INC,126 MEMORIAL DR,SPRINGFIELD,HAMPDEN,MA,01104,-72.5425,42.13875,Tetrachloroethylene,FALSE,,601.1,2.3,1.2,0.7,1.1,0.7,601.1,601.1,22.50463331,0.7,601.1,601.1,36.16626953,480.88,0.7,601.1,601.1,68.54646545,360.66,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,219514.7898,0.663610455,0.336389545,0.372696033,0.159599175,0.027333808,0.002609421,0.062178109,0.245826075,0.148288018,0.18698568,90973.12951,0.071433865,0.928566135,50920.12849,177830.28,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-15.10630421,54.09210888,45.03397048,80.48340322,8.518285454,30.09382999,13.50478441,7.291569646,-12.33304374,31.55527458,Other Chemical and Allied Products Merchant Wholesalers,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,8,2
01104STRCH126ME,ASTRO CHEMICALS INC,126 MEMORIAL DR,SPRINGFIELD,HAMPDEN,MA,01104,-72.5425,42.13875,Trichloroethylene,FALSE,,35.9,614.8,19,5.1,588.5,5.1,614.8,614.8,22.58406142,5.1,614.8,614.8,36.24569764,614.8,5.1,614.8,614.8,68.62589357,368.88,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,219514.7898,0.663610455,0.336389545,0.372696033,0.159599175,0.027333808,0.002609421,0.062178109,0.245826075,0.148288018,0.18698568,90973.12951,0.071433865,0.928566135,50920.12849,177830.28,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-15.10630421,54.09210888,45.03397048,80.48340322,8.518285454,30.09382999,13.50478441,7.291569646,-12.33304374,31.55527458,Other Chemical and Allied Products Merchant Wholesalers,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,8,2
01104STRCH126ME,ASTRO CHEMICALS INC,126 MEMORIAL DR,SPRINGFIELD,HAMPDEN,MA,01104,-72.5425,42.13875,N-Methyl-2-pyrrolidone,FALSE,,,,,206.7,206.7,206.7,206.7,206.7,14.69420175,0,0,0,0,0,206.7,206.7,206.7,64.31029918,165.36,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,219514.7898,0.663610455,0.336389545,0.372696033,0.159599175,0.027333808,0.002609421,0.062178109,0.245826075,0.148288018,0.18698568,90973.12951,0.071433865,0.928566135,50920.12849,177830.28,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-15.10630421,54.09210888,45.03397048,80.48340322,8.518285454,30.09382999,13.50478441,7.291569646,-12.33304374,31.55527458,Other Chemical and Allied Products Merchant Wholesalers,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,8,1
01151MNSNT730WO,SOLUTIA INC,730 WORCESTER ST,SPRINGFIELD,HAMPDEN,MA,01151,-72.526419,42.154981,Formaldehyde,FALSE,,237472,225287,199549,199017,243378,199017,243378,243378,94.51945989,199017,243378,243378,96.10802224,243378,0,0,0,0,0,199017,243378,243378,99.3910511,243932.8973,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,172935.9095,0.693747348,0.306252652,0.32283368,0.155910843,0.020856283,0.002137475,0.056933886,0.235912544,0.162836986,0.167414084,70932.10385,0.067961702,0.932038298,54061.95745,178512.7589,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-11.25098182,40.28710961,25.63012826,76.31243752,-17.19821511,6.564788414,3.93156942,2.964777415,-3.73178394,17.78552106,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,7,2
