FacilityID,FacilityName,Street,City,County,State,ZIPCode,Longitude,Latitude,Chemical,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsReleased_2021,PoundsReleased_2022,PoundsReleased_5yr_min,PoundsReleased_5yr_sum,PoundsReleased_5yr_max,Pounds_5yr_perc,Cancer_PoundsReleased_5yr_min,Cancer_PoundsReleased_5yr_sum,Cancer_PoundsReleased_5yr_max,Cancer_Pounds_5yr_perc,Cancer_weighted_5yr_sum,Dev_PoundsReleased_5yr_min,Dev_PoundsReleased_5yr_sum,Dev_PoundsReleased_5yr_max,Dev_Pounds_5yr_perc,Dev_weighted_5yr_sum,Asthma_PoundsReleased_5yr_min,Asthma_PoundsReleased_5yr_sum,Asthma_PoundsReleased_5yr_max,Asthma_Pounds_5yr_perc,Asthma_weighted_5yr_sum,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,population_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_units_county,VacPercent_county,OwnOccPercent_county,avg_median_income_county,avg_median_house_value_county,WhtPercent_change,NWPercent_change,HispPercent_change,BlkPercent_change,AsianPercent_change,AmerIndPercent_change,Under5Percent_change,ReprodFemPercent_change,Over64Percent_change,EduPercent_change,NAICS,10km_Pounds_sum,10km_Pounds_min,10km_Pounds_max,10km_Cancer_Pounds_sum,10km_Cancer_Pounds_min,10km_Cancer_Pounds_max,10km_Dev_Pounds_sum,10km_Dev_Pounds_min,10km_Dev_Pounds_max,10km_Asthma_Pounds_sum,10km_Asthma_Pounds_min,10km_Asthma_Pounds_max,10km_facnum,Health_Risk_Count
01028SDDKR82DEE,ARCLIN SURFACES - EAST LONGMEADOW CO.,82 DEER PARK DR,EAST LONGMEADOW,HAMPDEN,MA,1028,-72.521964,42.036831,Formaldehyde,25101,6447,6115,6649,4704,4704,49016,25101,67.5826535,4704,49016,25101,73.93731215,49016,0,0,0,0,0,4704,49016,25101,87.63417776,49127.75557,108077.9932,0.758313606,0.241686394,0.187430402,0.10019409,0.044672978,0.002828742,0.055750176,0.210901821,0.169091129,0.105883952,41680.26001,0.051076941,0.948923059,79675.32558,223552.2222,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-2.991214019,10.7108312,-27.06180664,13.30491044,77.35674121,41.02821225,1.770733008,-7.951231642,-0.034373417,-25.50449617,Paper Bag and Coated and Treated Paper Manufacturing,8307737.32,1311035.12,1849761.42,8258015.92,1294880.42,1828709.42,97558.1,26671,34151.8,8206969.42,1284363.42,1815233.42,1,2
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,59 DWIGHT ST,HATFIELD,HAMPSHIRE,MA,1038,-72.632292,42.368349,N-Methyl-2-pyrrolidone,12031,16323,31736,22289,33949,12031,116328,33949,73.55088021,0,0,0,0,0,12031,116328,33949,87.11893517,93062.4,0,0,0,0,0,32695.20994,0.872809955,0.127190045,0.069233356,0.024083036,0.030431567,0.002609797,0.030428447,0.289453533,0.202198046,0.055038852,14268.4036,0.058429648,0.941570352,77669.27586,328844.8276,161361,0.866355563,0.133644437,0.05848997,0.024522654,0.05280706,0.001289035,0.03361407,0.277185937,0.172650145,0.049094652,64114,0.070296659,0.929703341,73518,289300,0.745004916,-4.829525029,18.36791299,-1.792702549,-42.3721616,102.4612397,-9.477051867,4.425764236,17.11432203,12.10763303,Fertilizer (Mixing Only) Manufacturing,154981.82,22801.2,47382,4015.82,419.2,1248,150966,22382,46134,4015.82,419.2,1248,1,1
01041HZNPPTHIRD,HAZEN PAPER CO,240 S WATER ST,HOLYOKE,HAMPDEN,MA,1040,-72.60981,42.19251,N-Methyl-2-pyrrolidone,12102,#NUM!,#NUM!,10351,12185,10351,34638,12185,51.18076428,0,0,0,0,0,10351,34638,12185,76.51352512,27710.4,0,0,0,0,0,127572.4283,0.823494467,0.176505533,0.315643437,0.044715609,0.016647271,0.001177836,0.053319174,0.235286856,0.180001971,0.151679373,56917.11443,0.067626321,0.932373679,58068.07895,202404.4554,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,5.347178205,-19.14698272,22.83205837,-49.43316431,-33.90846319,-41.27845755,-2.667008409,2.691694294,6.416048941,6.715239075,Paper Bag and Coated and Treated Paper Manufacturing,8413355.72,1317626.9,1876036,8261976.32,1295244.2,1829902,199216.1,32899,59233.8,8210929.82,1284727.2,1816426,4,1
01060PRSTR238NO,BI-QEM INC.,238 NONOTUCK ST,FLORENCE,HAMPSHIRE,MA,1062,-72.674449,42.329885,Formaldehyde,1075,1248,419.2,644.72,628.9,419.2,4015.82,1248,21.72606269,419.2,4015.82,1248,35.165307,4015.82,0,0,0,0,0,419.2,4015.82,1248,61.91498497,4024.975995,41277.96399,0.894790491,0.105209509,0.075632008,0.017813598,0.02512426,0.001537191,0.028637343,0.279389965,0.201839329,0.056288826,18551.0667,0.061528891,0.938471109,74537.675,309158.9744,161361,0.866355563,0.133644437,0.05848997,0.024522654,0.05280706,0.001289035,0.03361407,0.277185937,0.172650145,0.049094652,64114,0.070296659,0.929703341,73518,289300,3.282131367,-21.27655166,29.30765403,-27.35860449,-52.42253551,19.25132203,-14.80548869,0.795144074,16.90655046,14.65368175,Plastics Material and Resin Manufacturing,200948.82,33318.2,59867,49982.82,10936.2,13733,196933,32899,58619,4015.82,419.2,1248,1,2
01089FNTNP492PR,FOUNTAIN PLATING CO LLC,492 PROSPECT AVE,WEST SPRINGFIELD,HAMPDEN,MA,1089,-72.6502,42.15478,Trichloroethylene,11809,11156,12485,10517,#NUM!,10517,45967,12485,51.6101331,10517,45967,12485,60.75568914,45967,10517,45967,12485,76.72820953,27580.2,0,0,0,0,0,150361.6303,0.769864105,0.230135895,0.385295581,0.061094028,0.020898174,0.002428519,0.061506384,0.245693854,0.151124807,0.189844113,65324.56603,0.071084577,0.928915423,54072.01471,193314.1654,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-1.513593285,5.419820206,49.93706134,-30.9115598,-17.03190349,21.07492039,12.27856432,7.233861219,-10.65595158,33.566348,"Electroplating, Plating, Polishing, Anodizing, and Coloring",8311697.72,1311398.9,1850954,8261976.32,1295244.2,1829902,97558.1,26671,34151.8,8210929.82,1284727.2,1816426,2,2
01104STRCH126ME,ASTRO CHEMICALS INC,126 MEMORIAL DR,SPRINGFIELD,HAMPDEN,MA,1104,-72.5425,42.13875,"Dichloromethane (Methylene chloride), Tetrachloroethylene, Trichloroethylene, N-Methyl-2-pyrrolidone",623,991,375,695.2,588.5,0.7,5492.9,991,19.66509231,0,5079.5,991,33.61957922,2567.84,0,2283.1,614.8,60.97037355,757.98,0,0,0,0,0,219514.7898,0.663610455,0.336389545,0.372696033,0.159599175,0.027333808,0.002609421,0.062178109,0.245826075,0.148288018,0.18698568,90973.12951,0.071433865,0.928566135,50920.12849,177830.28,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-15.10630421,54.09210888,45.03397048,80.48340322,8.518285454,30.09382999,13.50478441,7.291569646,-12.33304374,31.55527458,Other Chemical and Allied Products Merchant Wholesalers,8307681.9,1310979.7,1849706,8257960.5,1294825,1828654,97558.1,26671,34151.8,8206914,1284308,1815178,4,2
01151MNSNT730WO,SOLUTIA INC,730 WORCESTER ST,SPRINGFIELD,HAMPDEN,MA,1151,-72.526419,42.154981,"Formaldehyde, Acetaldehyde",237472,225287,199549,199017,243378,25916,1162476,243378,92.65779304,25916,1162476,243378,94.67582653,1104703,0,0,0,0,0,25916,1162476,243378,99.0124517,1107221.702,172935.9095,0.693747348,0.306252652,0.32283368,0.155910843,0.020856283,0.002137475,0.056933886,0.235912544,0.162836986,0.167414084,70932.10385,0.067961702,0.932038298,54061.95745,178512.7589,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-11.25098182,40.28710961,25.63012826,76.31243752,-17.19821511,6.564788414,3.93156942,2.964777415,-3.73178394,17.78552106,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,8307681.9,1310979.7,1849706,8257960.5,1294825,1828654,97558.1,26671,34151.8,8206914,1284308,1815178,3,2
01151NSMLM73BWR,PREFERE MELAMINES LLC,730B  WORCESTER ST,SPRINGFIELD,HAMPDEN,MA,1151,-72.517605,42.159065,Formaldehyde,1497576,1419822,1277637,1253688,1546699,1253688,6995422,1546699,97.89609274,1253688,6995422,1546699,98.36839845,6995422,0,0,0,0,0,1253688,6995422,1546699,99.82825247,7011371.432,148073.0615,0.709688548,0.290311452,0.28502651,0.152973068,0.020836234,0.002291149,0.053907395,0.233765068,0.168954262,0.157195423,60173.0876,0.066121698,0.933878302,56810.17742,182456.3492,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-9.211671829,32.98482201,10.91753805,72.99024181,-17.27781196,14.226273,-1.593224542,2.02750509,-0.115288465,10.59610024,Plastics Material and Resin Manufacturing,8307681.9,1310979.7,1849706,8257960.5,1294825,1828654,97558.1,26671,34151.8,8206914,1284308,1815178,3,2
01260MDSPCWILLO,ONYX SPECIALTY PAPERS INC. - WILLOW MILL,40 WILLOW ST,SOUTH LEE,BERKSHIRE,MA,1260,-73.286202,42.274705,Formaldehyde,33478,29929,21926,29407,27344,21926,142084,33478,73.29325891,21926,142084,33478,78.83211679,142084,0,0,0,0,0,21926,142084,33478,90.68269644,142407.9489,8507.110701,0.894581205,0.105418795,0.033642162,0.026394281,0.032316636,0.00270025,0.031236308,0.184738754,0.301562857,0.049825659,5143.277222,0.322123309,0.677876691,81395.35294,360412.5,125927,0.899235271,0.100764729,0.049528695,0.027182415,0.01783573,0.00250939,0.041762291,0.198821539,0.232475958,0.071422407,69149,0.207710885,0.792289115,62166,221000,-0.517558254,4.618745498,-32.07541141,-2.899428467,81.19042868,7.605820864,-25.20451406,-7.083128598,29.71786796,-30.23805747,Paper Mills,142084,21926,33478,142084,21926,33478,0,0,0,142084,21926,33478,0,2
01331DLLPL764SA,PEXCO LLC,764 S ATHOL RD,ATHOL,WORCESTER,MA,1331,-72.24363,42.58444,Di(2-ethylhexyl) phthalate,4,4,4,4,4,4,20,4,1.54572778,4,20,4,18.50579648,12,4,20,4,51.35251181,20,0,0,0,0,0,18029.73287,0.934896836,0.065103164,0.050055509,0.010701558,0.007296776,0.002242487,0.059505772,0.221945926,0.192230859,0.096610199,7964.628418,0.111012645,0.888987355,64565.94737,190710,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,13.72259441,-63.40763445,-57.55079402,-78.71698785,-85.51656502,4.850872437,10.99745861,-1.89464587,22.69134311,10.88311578,Unlaminated Plastics Profile Shape Manufacturing,56913,7517,17105,56913,7517,17105,56913,7517,17105,0,0,0,1,2
